row,col,FID,Shape,x,y,row_col_id,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score
74,83,2921,Point,569150,135450,10740083,0,0,0,0,1,2,4,3,1,3,0.0,0.0,0.0,0,2.5,2.5,1,0.0
74,84,2922,Point,569250,135450,10740084,0,0,0,0,1,4,4,3,1,3,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,85,2923,Point,569350,135450,10740085,0,0,0,0,1,4,4,3,1,2,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,86,2924,Point,569450,135450,10740086,0,0,0,0,1,4,4,3,1,1,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,87,2925,Point,569550,135450,10740087,0,0,0,1,2,4,4,3,1,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,88,2926,Point,569650,135450,10740088,0,0,0,1,2,4,4,3,1,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
74,89,2927,Point,569750,135450,10740089,0,0,0,1,2,4,4,3,1,0,0.0,0.0,0.0,0,2.5,0.0,4,0.0
74,90,2928,Point,569850,135450,10740090,0,1,0,0,2,4,4,3,0,0,0.0,0.0,0.0,0,2.5,0.0,4,0.0
74,91,2929,Point,569950,135450,10740091,0,1,1,0,2,4,4,3,0,0,0.0,0.0,0.0,0,2.5,0.0,4,0.0
74,92,2930,Point,570050,135450,10740092,0,2,1,0,3,4,4,3,0,0,0.0,0.0,0.0,0,0.0,0.0,4,0.0
74,93,2931,Point,570150,135450,10740093,2,4,1,0,3,4,4,3,0,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
74,94,2932,Point,570250,135450,10740094,3,4,1,0,3,3,4,3,0,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
74,95,2933,Point,570350,135450,10740095,3,4,1,0,3,3,4,3,0,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
74,96,2934,Point,570450,135450,10740096,3,3,2,0,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
74,97,2935,Point,570550,135450,10740097,3,3,2,0,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
74,98,2936,Point,570650,135450,10740098,3,3,2,0,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,3,1.0
74,99,2937,Point,570750,135450,10740099,3,4,2,0,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,3,1.0
74,100,2938,Point,570850,135450,10740100,3,4,2,0,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
74,101,2939,Point,570950,135450,10740101,2,4,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,102,2940,Point,571050,135450,10740102,2,4,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,103,2941,Point,571150,135450,10740103,1,4,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,1,1.0
74,104,2942,Point,571250,135450,10740104,0,3,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
74,105,2943,Point,571350,135450,10740105,0,3,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
74,106,2944,Point,571450,135450,10740106,0,2,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
74,107,2945,Point,571550,135450,10740107,1,2,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
74,108,2946,Point,571650,135450,10740108,1,2,2,1,3,3,4,3,2,0,0.0,0.0,0.0,0,0.0,0.0,3,2.0
74,109,2947,Point,571750,135450,10740109,1,1,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.0,0.0,3,2.0
74,110,2948,Point,571850,135450,10740110,1,1,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.0,0.0,3,2.0
74,111,2949,Point,571950,135450,10740111,1,1,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.25,0.0,3,2.0
74,112,2950,Point,572050,135450,10740112,1,1,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.25,0.0,3,2.0
74,113,2951,Point,572150,135450,10740113,2,2,2,1,3,3,4,3,2,1,0.0,0.0,0.0,0,0.75,0.0,3,2.0
75,32,2952,Point,564050,135350,10750032,3,3,3,2,3,2,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,2,1.0
75,33,2953,Point,564150,135350,10750033,3,2,3,2,3,3,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,2,1.0
75,34,2954,Point,564250,135350,10750034,3,2,3,2,2,3,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
75,35,2955,Point,564350,135350,10750035,3,2,3,2,2,3,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
75,36,2956,Point,564450,135350,10750036,2,2,3,2,2,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
75,37,2957,Point,564550,135350,10750037,2,2,3,2,3,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
75,38,2958,Point,564650,135350,10750038,2,1,4,2,3,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
75,39,2959,Point,564750,135350,10750039,2,1,3,2,3,2,4,3,2,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
75,40,2960,Point,564850,135350,10750040,2,1,3,2,2,3,4,3,1,2,0.0,0.0,0.0,0,0.0,0.0,1,1.0
75,41,2961,Point,564950,135350,10750041,2,1,3,3,2,3,4,3,1,2,0.0,0.0,0.0,0,0.0,0.0,0,1.0
75,42,2962,Point,565050,135350,10750042,2,2,2,3,2,3,4,3,1,3,0.0,0.0,0.0,0,0.0,0.0,0,1.0
75,43,2963,Point,565150,135350,10750043,3,2,1,3,2,3,4,3,1,3,0.0,0.0,0.0,0,0.0,0.0,0,1.0
75,44,2964,Point,565250,135350,10750044,3,3,1,3,1,3,4,3,2,4,0.0,0.0,0.0,0,0.0,0.0,0,1.0
75,45,2965,Point,565350,135350,10750045,3,3,1,3,1,2,4,3,3,4,0.0,0.0,0.0,0,0.0,0.0,0,1.0
75,46,2966,Point,565450,135350,10750046,3,3,1,3,1,2,4,3,3,4,0.0,0.0,0.0,0,0.0,0.0,0,1.0
75,47,2967,Point,565550,135350,10750047,3,4,0,3,1,2,4,3,3,3,0.0,0.0,0.0,0,0.0,0.0,0,1.0
75,48,2968,Point,565650,135350,10750048,3,4,0,3,0,1,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,0,1.0
75,49,2969,Point,565750,135350,10750049,3,4,0,4,0,0,4,3,2,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0
75,50,2970,Point,565850,135350,10750050,3,4,0,4,0,0,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
75,51,2971,Point,565950,135350,10750051,3,4,0,4,0,0,4,3,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
75,52,2972,Point,566050,135350,10750052,2,4,0,4,0,0,4,3,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
75,53,2973,Point,566150,135350,10750053,1,4,0,4,0,0,4,3,0,0,0.0,0.0,0.0,0,1.0,0.0,0,0.0
75,54,2974,Point,566250,135350,10750054,0,1,0,4,0,0,4,3,0,0,0.0,0.0,0.0,0,1.75,0.0,0,0.0
75,55,2975,Point,566350,135350,10750055,0,0,0,4,0,0,0,3,0,0,0.0,0.0,0.0,0,2.5,0.0,0,0.0
75,56,2976,Point,566450,135350,10750056,0,0,0,4,0,0,0,3,1,0,0.0,0.0,0.0,0,2.5,0.0,0,0.0
75,57,2977,Point,566550,135350,10750057,0,0,0,4,0,0,0,4,3,0,0.0,0.0,0.0,0,2.5,0.25,0,0.0
75,58,2978,Point,566650,135350,10750058,0,0,0,4,0,0,0,4,3,0,0.0,0.0,0.0,0,2.5,0.0,0,1.0
75,59,2979,Point,566750,135350,10750059,0,0,0,4,0,0,0,4,4,0,0.0,0.0,0.0,0,2.5,0.0,0,2.0
75,60,2980,Point,566850,135350,10750060,0,0,0,3,0,0,0,3,4,0,0.0,0.0,0.0,0,2.5,0.25,0,3.0
75,61,2981,Point,566950,135350,10750061,1,0,1,3,0,0,0,0,4,0,0.0,0.0,0.0,0,2.5,0.75,0,3.0
75,62,2982,Point,567050,135350,10750062,2,0,4,0,0,0,0,0,4,0,0.0,0.0,0.0,0,2.5,2.5,0,3.0
